1/1/22,,,,,,,,,
0:00,5:55,9:48,12:03,14:35,15:00,18:30,21:15,,
4.42,1.45,0.52,0.42,0.15,1.00,0.30,2.45,,
1/2/22,,,,,,,,,
0:00,9:11,11:45,13:33,15:39,19:02,21:19,,,
7.20,1.00,0.35,0.45,0.55,0.33,2.41,,,
1/3/22,,,,,,,,,
0:00,8:45,10:45,11:30,14:33,18:14,21:15,22:17,,
7.05,0.39,0.20,0.40,0.37,0.46,0.53,1.43,,
1/4/22,,,,,,,,,
0:00,8:50,12:05,17:05,19:35,21:50,,,,
6.15,2.25,3.14,0.25,0.35,2.10,,,,
1/5/22,,,,,,,,,
0:00,8:38,11:15,13:10,14:38,18:20,20:40,,,
6.50,0.47,0.25,0.20,0.54,0.54,3.20,,,
1/6/22,,,,,,,,,
0:00,5:40,6:38,9:15,11:40,12:05,13:35,15:15,17:56,20:45
4.15,0.45,0.48,1.05,0.15,0.25,0.30,0.35,0.27,3.15
1/7/22,,,,,,,,,
0:00,8:45,12:20,15:02,18:20,21:15,,,,
6.55,1.28,0.55,0.34,0.35,2.45,,,,
1/8/22,,,,,,,,,
0:00,7:30,10:29,12:09,14:54,18:30,20:20,21:27,,
6.05,0.38,0.51,0.51,0.39,0.25,0.55,2.32,,
